"","rule","precision","recall"
"83","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_A_CS_unknown}>",0.70201384,0.106898259
"84","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.70121732,0.119330929
"85","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70121732,0.119330929
"86","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.70121732,0.119330929
"87","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70121732,0.119330929
"88","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70119354,0.094675266
"89","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70119354,0.094675266
"90","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70119354,0.094675266
"91","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_B_CS_unknown}>",0.70081439,0.101777322
"92","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.70080785,0.118168139
"93","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70080785,0.118168139
"94","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.70080785,0.118168139
"95","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_A_CS_unknown}>",0.70059017,0.109632237
"96","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70058379,0.098337189
"97","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70058379,0.098337189
"98","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70058379,0.098337189
"99","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70053535,0.075665804
"100","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70048718,0.093663324
"101","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70048718,0.093663324
"102","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70048718,0.093663324
"103","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70047333,0.1045409
"104","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_A_CS_unknown}>",0.70043196,0.109140699
"105","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70042948,0.095827378
"106","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_B_CS_unknown}>",0.69997548,0.099634138
"107","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.69990789,0.114955386
"108","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.69990789,0.114955386
"109","<{saml.status.channel_A_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.69970606,0.105129136
"110","<{saml.status.channel_A_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.69970606,0.105129136
"111","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"112","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"113","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"114","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"115","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"116","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"117","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"118","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"119","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"120","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"121","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.69970117,0.08087993
"122","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.69935766,0.121065847
